trainNo,trainName,fromStation,toStation
14722,Abohar Jodhpur Express,Abohar Junction,Jodhpur Junction
54703,Abohar Jodhpur Passenger,Bathinda Junction,Jaipur Junction
79438,Abu Road Mahesana DEMU,Abu Road,Mehsana Junction
55338,Achhnera Kasganj Fast Passenger,Bharatpur Junction,Kasganj Junction
55332,Achhnera Kasganj Passenger,Achhnera Junction,Kasganj Junction
22188,Adhartal Rani Kamlapati Intercity Express,Adhartal,Rani Kamlapati
17409,Adilabad Hazur Sahib Nanded Express,Adilabad,Hazur Sahib Nanded
1012,Adilabad Mumbai CSMT Summer Special,Adilabad,Chhatrapati Shivaji Maharaj Terminus
57654,Adilabad Parli Vaijnath Passenger,Adilabad,Parli Vaijnath
77616,Adilabad Purna DEMU,Adilabad,Purna Junction
68045,Adra Asansol Memu,Adra Junction,Asansol Junction
68061,Adra Asansol MEMU,Adra Junction,Asansol Junction
68063,Adra Asansol MEMU,Adra Junction,Asansol Junction
68065,Adra Asansol MEMU,Adra Junction,Asansol Junction
68067,Adra Asansol MEMU,Adra Junction,Asansol Junction
68069,Adra Asansol MEMU,Adra Junction,Asansol Junction
68053,Adra Barabhum MEMU,Adra Junction,Barabhum
68041,Adra Barkakana MEMU,Adra Junction,Barkakana Junction
68077,Adra Bhaga MEMU,Adra Junction,Bhaga
68075,Adra Bhojudih MEMU,Adra Junction,Bhojudih Junction
68082,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
68084,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
68098,Adra Garhbeta MEMU,Adra Junction,Garhbeta
68071,Adra Khanudih MEMU,Adra Junction,Khanudih
68102,Adra Kharagpur Memu,Adra Junction,Kharagpur Junction
68090,Adra Midnapore MEMU,Adra Junction,Midnapore
68057,Adra Purulia MEMU,Adra Junction,Purulia Junction
20501,Agartala Anand Vihar Terminal Tejas Rajdhani Express,Agartala,Anand Vihar Terminus
15626,Agartala Deoghar Weekly Express,Agartala,Deoghar
5665,Agartala Dharmanagar Kharchi Puja Passenger Special,Agartala,Dharmanagar
55675,Agartala Dharmanagar Passenger,Agartala,Dharmanagar
5621,Agartala Guwahati One Way Special,Agartala,Guwahati
5628,Agartala Guwahati Summer Special,Agartala,Guwahati
75679,Agartala Karimganj DEMU,Agartala,Karimganj Junction
12097,Agartala Khongsang Jan Shatabdi Express,Agartala,Khongsang
12502,Agartala Kolkata Garib Rath Express,Agartala,Kolkata
12520,Agartala Mumbai LTT AC Super Fast Express,Agartala,Lokmanya Tilak Terminus
1666,Agartala Rani Kamalapati Special,Agartala,Rani Kamlapati
75682,Agartala Sabroom DEMU,Agartala,Sabroom
75684,Agartala Sabroom DEMU,Agartala,Sabroom
75688,Agartala Sabroom DEMU,Agartala,Sabroom
75690,Agartala Sabroom DEMU,Agartala,Sabroom
5667,Agartala Sabroom Kharchi Puja Passenger Special,Agartala,Sabroom
7029,Agartala Secunderabad Special,Agartala,Secunderabad Junction
15663,Agartala Silchar Express,Agartala,Silchar
12504,Agartala SMVT Bengaluru Humsafar Express,Agartala,Sir Mokshagundam Visvesvaraya Terminal
76827,Agasthiyampalli Thiruvarur DEMU,Agastiyampalli,Thiruvarur Junction
12341,Agnibina Express,Howrah Junction,Asansol Junction
12342,Agnibina Express,Asansol Junction,Howrah Junction
1919,Agra Cantt Asarva Summer Special,Agra Cantonment,Asarva Junction
20176,Agra Cantt Banaras Vande Bharat Express,Agra Cantonment,Banaras
64626,Agra Cantt Etawah MEMU,Agra Cantonment,Etawah Junction
1961,Agra Cantt Gangapur City Mela Special,Agra Cantonment,Gangapur City
11905,Agra Cantt Hoshiarpur Express,Agra Cantonment,Hoshiarpur
20976,Agra Cantt Howrah Chambal Express,Agra Cantonment,Howrah Junction
13168,Agra Cantt Kolkata Weekly Express,Agra Cantonment,Kolkata
64623,Agra Cantt Mainpuri MEMU,Agra Cantonment,Mainpuri Junction
64957,Agra Cantt Palwal MEMU,Agra Cantonment,Palwal
12547,Agra Cantt Sabarmati Super Fast Express,Agra Cantonment,Sabarmati Bg
64955,Agra Cantt Tundla MEMU,Agra Cantonment,Tundla Junction
20982,Agra Cantt Udaipur City Vande Bharat Express,Agra Cantonment,Udaipur City
11808,Agra Cantt Virangana Lakshmibai MEMU Express,Agra Cantonment,Virangana Lakshmibai Jhansi Junction
1972,Agra Cantt. - Mathura Mela Special,Agra Cantonment,Mathura Junction
12195,Agra Fort Ajmer Intercity Super Fast Express,Agra Fort,Ajmer Junction
22988,Agra Fort Ajmer Super Fast Express,Agra Fort,Ajmer Junction
51901,Agra Fort Etah Passenger,Agra Fort,Etah
55334,Agra Fort Kasganj Passenger,Agra Fort,Kasganj Junction
59814,Agra Fort Kota Passenger,Agra Fort,Kota Junction
12180,Agra Fort Lucknow Junction Intercity Super Fast Express,Agra Fort,Lucknow Junction
15055,Agra Fort Ramnagar Express,Agra Fort,Ramnagar
1901,Agra Fort Subedarganj Kumbh Mela Special,Agra Fort,Subedarganj
11902,Agra Jhansi Express,Agra Cantonment,Virangana Lakshmibai Jhansi Junction
14211,Agra New Delhi Intercity Express,Agra Cantonment,New Delhi
63040,Ahamadpur Katwa Memu,Ahmadpur Junction,Katwa Junction
22645,Ahilya Nagari Super Fast Express,Indore Junction,
22646,Ahilya Nagari Super Fast Express,Thiruvananthapuram North,Indore Junction
22185,Ahimsa Super Fast Express,Ahmedabad Junction,Pune Junction
22186,Ahimsa Super Fast Express,Pune Junction,Ahmedabad Junction
53056,Ahmadpur Katwa Passenger,Ahmadpur Junction,Katwa Junction
69116,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
69130,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
19435,Ahmedabad Asansol Weekly Express,Ahmedabad Junction,Asansol Junction
19483,Ahmedabad Barauni Express,Ahmedabad Junction,Barauni Junction
19418,Ahmedabad Borivali Express,Ahmedabad Junction,Borivali
15560,Ahmedabad Darbhanga Antyodaya Express,Ahmedabad Junction,Darbhanga Junction
9465,Ahmedabad Darbhanga Clone Special,Ahmedabad Junction,Darbhanga Junction
19165,Ahmedabad Darbhanga Sabarmati Express,Ahmedabad Junction,Darbhanga Junction
20947,Ahmedabad Ekta Nagar Jan Shatabdi Express,Ahmedabad Junction,Ektanagar
9409,Ahmedabad Ekta Nagar Steam Heritage Special,Ahmedabad Junction,Ektanagar
20949,Ahmedabad Ektanagar Jan Shatabdi Express,Ahmedabad Junction,Ektanagar
